English,LAT,LON,Chinese,Category,Company,Description
Po Shan Road,22.2803703,114.1417016,寶珊道,Compradores,"Chartered Mercantile Bank of India, London and China","Sir Boshan Wei Yuk was a prominent Hong Kong businessman. He served as the head compradore of Chartered Mercantile Bank of India, London and China, and a member of the Legislative Council. He played a key role in public services, including chairing Tung Wah Hospital and co-founding the Po Leung Kuk."
Chico Terrace,22.2803226,114.1516885,芝古臺,Compradores,Banco Ultramarino of Macao,"Francisco Yat-Tse, born in Hong Kong in 1854, was the first Comparadore of Banco Ultramarino of Macao. Known as ""Chico"" by the local Portuguese community, he is believed to be the namesake of Chico Terrace."
Fat Hing Street,22.2864329,114.148058,發興街,Compradores,Peninsular and Oriental Steam Navigation Company,"Kwok A-cheong, a prominent Hong Kong businessman, served as the comprador for the P&O Steamship Company and established the successful merchant house, Fat Hing Hong, in Sheung Wan."
Ho Tung Road,22.3302393,114.1798734,何東道,Compradores,Jardine Matheson & Co.,"Sir Robert Hotung was a Hong Kong businessman and philanthropist. He was Head Compradore at Jardines and was a director of Hong Kong Land and a board member of Tung Wah Hospital. By the age of 35, he was believed to be the richest man in Hong Kong."
Shouson Hill Road,22.2470721,114.1783377,壽山村道,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Shouson Hill Road East,22.2483905,114.1829097,壽臣山道東,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Shouson Hill Road West,22.2512093,114.180698,壽臣山道西,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Rutter Street,22.2842839,114.1467587,律打街,Finance,Commercial Bank of India | Hughesdon Calder & Co.,"Henry Rutter was a British exchange broker snd financial writer. He was an agent at Commercial Bank of India and a partner at Hughesdon Calder & Co.. He made many publications on financial topics, including ‘Exchange Tables and Arbitrations of Exchanges between England, India, and China’."
Mody Lane,22.2982202,114.1780338,麼地里,Finance,Chater & Mody,"Sir Hormusjee Naorojee Mody, an influential Indian Parsi businessman, co-founded the University of Hong Kong and played a pivotal role in developing Kowloon through his successful real estate brokerage, Chater and Mody, with Sir Catchick Paul Chater. His philanthropy extended to founding institutions like the Hong Kong Jockey Club and Kowloon Cricket Club."
Mody Road,22.2972814,114.1754917,麼地道,Finance,Chater & Mody,"Sir Hormusjee Naorojee Mody, an influential Indian Parsi businessman, co-founded the University of Hong Kong and played a pivotal role in developing Kowloon through his successful real estate brokerage, Chater and Mody, with Sir Catchick Paul Chater. His philanthropy extended to founding institutions like the Hong Kong Jockey Club and Kowloon Cricket Club."
